"symbol","date","open","high","low","close","volume","adjusted"
"BZ=F",2021-08-27,71.419998,72.739998,71.160004,72.699997,24373,72.699997
"CC=F",2021-08-27,2602,2602,2602,2602,0,2602
"CL=F",2021-08-27,67.75,69.050003,67.519997,68.739998,344286,68.739998
"CT=F",2021-08-27,95.190002,96.309998,95.150002,96.269997,7,96.269997
"ES=F",2021-08-27,4470,4510,4462.25,4505.5,1306718,4505.5
"GC=F",2021-08-27,1803.400024,1816.599976,1803.099976,1816.599976,61,1816.599976
"GF=F",2021-08-27,165.125,165.350006,163.574997,164.649994,2356,164.649994
"HE=F",2021-08-27,88.324997,90.900002,88.324997,90.724998,14077,90.724998
"HG=F",2021-08-27,4.3165,4.3165,4.3165,4.3165,549,4.3165
"HO=F",2021-08-27,2.0801,2.1175,2.0705,2.1092,39564,2.1092
"KC=F",2021-08-27,186.050003,189.600006,186.050003,189.5,14,189.5
"KE=F",2021-08-27,715.5,723,709,712.25,12648,712.25
"LBS=F",2021-08-27,504.5,504.899994,475.5,485.200012,166,485.200012
"LE=F",2021-08-27,123.150002,123.400002,120.175003,122,1822,122
"MGC=F",2021-08-27,1816.599976,1816.599976,1816.599976,1816.599976,10,1816.599976
"NG=F",2021-08-27,4.202,4.397,4.197,4.37,76860,4.37
"NQ=F",2021-08-27,15286,15443.75,15265.5,15426.5,564382,15426.5
"OJ=F",2021-08-27,148.399994,148.949997,145.449997,146.699997,673,146.699997
"PA=F",2021-08-27,2402.199951,2402.199951,2402.199951,2402.199951,1,2402.199951
"PL=F",2021-08-27,1005.799988,1005.799988,1005.799988,1005.799988,50,1005.799988
"RB=F",2021-08-27,2.257,2.2974,2.2512,2.2742,53562,2.2742
"RTY=F",2021-08-27,2213.800049,2282.100098,2206.399902,2275.300049,180074,2275.300049
"SB=F",2021-08-27,19.68,20.1,19.620001,20.040001,36323,20.040001
"SI=F",2021-08-27,23.73,24.059999,23.715,24.059999,4,24.059999
"SIL=F",2021-08-27,24.059999,24.059999,24.059999,24.059999,0,24.059999
"YM=F",2021-08-27,35182,35428,35114,35403,144173,35403
"ZB=F",2021-08-27,163.875,164.8125,163.8125,164.5,781214,164.5
"ZC=F",2021-08-27,553,558.75,548.75,558,73859,558
"ZF=F",2021-08-27,123.773438,124.070313,123.710938,124.03125,2205757,124.03125
"ZL=F",2021-08-27,61.189999,61.720001,59.740002,61.299999,23682,61.299999
"ZM=F",2021-08-27,356.200012,356.5,352.399994,354.200012,30712,354.200012
"ZN=F",2021-08-27,133.515625,133.96875,133.421875,133.890625,3102536,133.890625
"ZO=F",2021-08-27,509.75,520.25,509.75,518,44,518
"ZR=F",2021-08-27,1329.5,1339,1319.5,1323,252,1323
"ZS=F",2021-08-27,1364.25,1368.25,1324,1359.25,23771,1359.25
"ZT=F",2021-08-27,110.246094,110.308594,110.242188,110.300781,1397060,110.300781
