"symbol","company","weight","sector","shares_held"
"AAPL","Apple Inc.",0.03650930583913,"Information Technology",59824290
"MSFT","Microsoft Corporation",0.0263168873026033,"Information Technology",88583400
"AMZN","Amazon.com Inc.",0.0190610844950666,"Consumer Discretionary",4551822
"JNJ","Johnson & Johnson",0.0175931668878174,"Health Care",30909580
"FB","Facebook Inc. Class A",0.017545455437861,"Information Technology",27120374
"XOM","Exxon Mobil Corporation",0.0165509598962348,"Energy",48611468
"BRK.B","Berkshire Hathaway Inc. Class B",0.0152044323056429,"Financials",21794192
"JPM","JPMorgan Chase & Co.",0.014772367501486,"Financials",40765170
"GOOGL","Alphabet Inc. Class A",0.0140480800729417,"Information Technology",3414752
"GOOG","Alphabet Inc. Class C",0.013791500943677,"Information Technology",3423557
"GE","General Electric Company",0.0115022219196228,"Industrials",100000930
"WFC","Wells Fargo & Company",0.0112955957178293,"Financials",51620544
"T","AT&T Inc.",0.011168341835888,"Telecommunication Services",70540030
"PG","Procter & Gamble Company",0.0109475162743025,"Consumer Staples",29345400
"BAC","Bank of America Corporation",0.01087138609157,"Financials",114189990
"PFE","Pfizer Inc.",0.00976116426664965,"Health Care",68472430
"CVX","Chevron Corporation",0.00952230681898587,"Energy",21737596
"CMCSA","Comcast Corporation Class A",0.00894033319943507,"Consumer Discretionary",54251944
"PM","Philip Morris International Inc.",0.00888872918361596,"Consumer Staples",17820196
"VZ","Verizon Communications Inc.",0.0088633224362503,"Telecommunication Services",46805340
"MRK","Merck & Co. Inc.",0.00868079211774025,"Health Care",31450142
"HD","Home Depot Inc.",0.00866023856945783,"Consumer Discretionary",13718957
"UNH","UnitedHealth Group Incorporated",0.00854523276107912,"Health Care",11056680
"V","Visa Inc. Class A",0.00844730821215421,"Information Technology",21184112
"C","Citigroup Inc",0.00835726886091505,"Financials",31591168
"KO","Coca-Cola Company",0.00832926039857693,"Consumer Staples",44121140
"PEP","PepsiCo Inc.",0.00799756175278058,"Consumer Staples",16390014
"INTC","Intel Corporation",0.00770696019695303,"Information Technology",54031012
"CSCO","Cisco Systems Inc.",0.00768587629908006,"Information Technology",57409320
"ORCL","Oracle Corporation",0.00732561882816296,"Information Technology",34463450
"DIS","Walt Disney Company",0.00726068602640803,"Consumer Discretionary",16676411
"MO","Altria Group Inc.",0.00707271211964791,"Consumer Staples",22163608
"IBM","International Business Machines Corporation",0.00632610998191678,"Information Technology",9839316
"MMM","3M Company",0.00609014444051085,"Industrials",6856629
"AMGN","Amgen Inc.",0.00607496443430616,"Health Care",8441374
"MCD","McDonald's Corporation",0.00603352712007174,"Consumer Discretionary",9352078
"MDT","Medtronic plc",0.00583880876757532,"Health Care",15689826
"MA","Mastercard Incorporated Class A",0.00558729297591093,"Information Technology",10799505
"ABBV","AbbVie Inc.",0.00553586907882069,"Health Care",18267076
"BA","Boeing Company",0.00543437217510667,"Industrials",6441134
"WMT","Wal-Mart Stores Inc.",0.00529221847164996,"Consumer Staples",16949742
"CELG","Celgene Corporation",0.005019908973398,"Health Care",8958720
"HON","Honeywell International Inc.",0.00488952302689364,"Industrials",8746874
"AVGO","Broadcom Limited",0.00470512147492263,"Information Technology",4598364
"BMY","Bristol-Myers Squibb Company",0.0044669845021743,"Health Care",18903858
"PCLN","Priceline Group Inc",0.00441083749174944,"Consumer Discretionary",564086
"GILD","Gilead Sciences Inc.",0.00440807567124021,"Health Care",14982897
"SLB","Schlumberger NV",0.00439613780215505,"Energy",15982602
"NVDA","NVIDIA Corporation",0.00438104785531479,"Information Technology",6826464
"UTX","United Technologies Corporation",0.00437963692527203,"Industrials",8589243
"UNP","Union Pacific Corporation",0.00417831421938399,"Industrials",9264754
"SBUX","Starbucks Corporation",0.00414605295372551,"Consumer Discretionary",16615728
"ABT","Abbott Laboratories",0.00407668722992135,"Health Care",19909544
"QCOM","QUALCOMM Incorporated",0.00402039012055577,"Information Technology",16933162
"AGN","Allergan plc",0.00396229182390156,"Health Care",3853534
"LLY","Eli Lilly and Company",0.00389915020283921,"Health Care",11140845
"USB","U.S. Bancorp",0.0038684299529721,"Financials",18263584
"GS","Goldman Sachs Group Inc.",0.00380610887278567,"Financials",4200491
"TXN","Texas Instruments Incorporated",0.00380483803508759,"Information Technology",11460174
"CVS","CVS Health Corporation",0.0037752285173818,"Consumer Staples",11689749
"TWX","Time Warner Inc.",0.00369262406700625,"Consumer Discretionary",8877657
"ACN","Accenture Plc Class A",0.00365524943076728,"Information Technology",7138212
"UPS","United Parcel Service Inc. Class B",0.00362552984050497,"Industrials",7880849
"ADBE","Adobe Systems Incorporated",0.00344178872387312,"Information Technology",5673463
"CHTR","Charter Communications Inc. Class A",0.00341533128392242,"Consumer Discretionary",2474719
"DOW","Dow Chemical Company",0.00341469086177536,"Materials",12895617
"DD","E. I. du Pont de Nemours and Company",0.00336131567845577,"Materials",9948009
"LMT","Lockheed Martin Corporation",0.00335073870643312,"Industrials",2861869
"NKE","NIKE Inc. Class B",0.00334938781596665,"Consumer Discretionary",15190734
"COST","Costco Wholesale Corporation",0.00329897458507724,"Consumer Staples",5032447
"MDLZ","Mondelez International Inc. Class A",0.00327767054209123,"Consumer Staples",17497600
"TMO","Thermo Fisher Scientific Inc.",0.00325647657166174,"Health Care",4474674
"NFLX","Netflix Inc.",0.00325310434879359,"Consumer Discretionary",4934521
"CB","Chubb Limited",0.00322720727822159,"Financials",5340325
"CL","Colgate-Palmolive Company",0.00320872509532108,"Consumer Staples",10130601
"NEE","NextEra Energy Inc.",0.00320771442912024,"Utilities",5371467
"LOW","Lowe's Companies Inc.",0.00312462966213439,"Consumer Discretionary",9845640
"WBA","Walgreens Boots Alliance Inc",0.00311954631134205,"Consumer Staples",9794856
"MS","Morgan Stanley",0.00297893362367672,"Financials",16343211
"AXP","American Express Company",0.00295494781294986,"Financials",8614514
"CAT","Caterpillar Inc.",0.00293602533982325,"Industrials",6759671
"PYPL","PayPal Holdings Inc",0.00291821359885796,"Information Technology",12874669
"DUK","Duke Energy Corporation",0.00287706647590893,"Utilities",8022542
"BIIB","Biogen Inc.",0.00286643947090604,"Health Care",2451023
"CRM","salesforce.com inc.",0.00283616951786109,"Information Technology",7671128
"PNC","PNC Financial Services Group Inc.",0.00277400854321143,"Financials",5561830
"GD","General Dynamics Corporation",0.00273750448082863,"Industrials",3259318
"MET","MetLife Inc.",0.00271706100510273,"Financials",12462020
"AMT","American Tower Corporation",0.00269455617059097,"Real Estate",4897426
"COP","ConocoPhillips",0.00264887605963223,"Energy",14162892
"AIG","American International Group Inc.",0.00264867592771127,"Financials",10074158
"RAI","Reynolds American Inc.",0.00260043412816426,"Consumer Staples",9494437
