"symbol","Name","asset","weight","price","shares","market_value","notional_value","sector","sedol","isin","exchange"
"MSFT","MICROSOFT CORP","Equity",0.0567,186.27,56604769,10543770321.63,10543770321.63,"Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity",0.056,335.9,30990352,10409659236.8,10409659236.8,"Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity",0.0425,2557.96,3090100,7904352196,7904352196,"Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity",0.0216,224.43,17855673,4007348691.39,4007348691.39,"Communication","B7TL820","US30303M1027","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity",0.0168,1403.84,2217699,3113294564.16,3113294564.16,"Communication","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity",0.0148,140.87,19528097,2750923024.39,2750923024.39,"Health Care","2475833","US4781601046","NYSE"
"BRK-B","BERKSHIRE HATHAWAY INC CLASS B","Equity",0.0139,178.02,14513537,2583699856.74,2583699856.74,"Financials","2073390","US0846707026","NYSE"
"V","VISA INC CLASS A","Equity",0.0129,188.88,12701613,2399080663.44,2399080663.44,"Information Technology","B2PZN04","US92826C8394","NYSE"
"JPM","JPMORGAN CHASE & CO","Equity",0.0122,97.21,23272337,2262303879.77,2262303879.77,"Financials","2190385","US46625H1005","NYSE"
"PG","PROCTER & GAMBLE","Equity",0.0116,116.26,18503702,2151240394.52,2151240394.52,"Consumer Staples","2704407","US7427181091","NYSE"
"UNH","UNITEDHEALTH GROUP INC","Equity",0.0107,283.73,7029703,1994537632.19,1994537632.19,"Health Care","2917766","US91324P1021","NYSE"
"HD","HOME DEPOT INC","Equity",0.0104,239.47,8093868,1938238569.96,1938238569.96,"Consumer Discretionary","2434209","US4370761029","NYSE"
"INTC","INTEL CORPORATION CORP","Equity",0.0104,59.7,32276384,1926900124.8,1926900124.8,"Information Technology","2463247","US4581401001","NASDAQ"
"MA","MASTERCARD INC CLASS A","Equity",0.0103,291.25,6586857,1918422101.25,1918422101.25,"Information Technology","B121557","US57636Q1040","NYSE"
"VZ","VERIZON COMMUNICATIONS INC","Equity",0.0093,56.45,30686913,1732276238.85,1732276238.85,"Communication","2090571","US92343V1044","NYSE"
"T","AT&T INC","Equity",0.0088,30.17,54202071,1635276482.07,1635276482.07,"Communication","2831811","US00206R1023","NYSE"
"NVDA","NVIDIA CORP","Equity",0.0086,351.85,4540988,1597746627.8,1597746627.8,"Information Technology","2379504","US67066G1040","NASDAQ"
"DIS","WALT DISNEY","Equity",0.0081,112.64,13373496,1506390589.44,1506390589.44,"Communication","2270726","US2546871060","NYSE"
"MRK","MERCK & CO INC","Equity",0.0079,77.35,18890856,1461207711.6,1461207711.6,"Health Care","2778844","US58933Y1055","NYSE"
"XOM","EXXON MOBIL CORP","Equity",0.0078,46.18,31394235,1449785772.3,1449785772.3,"Energy","2326618","US30231G1022","NYSE"
"BAC","BANK OF AMERICA CORP","Equity",0.0077,23.93,60068278,1437433892.54,1437433892.54,"Financials","2295677","US0605051046","NYSE"
"ADBE","ADOBE INC","Equity",0.0075,387.67,3591835,1392446674.45,1392446674.45,"Information Technology","2008154","US00724F1012","NASDAQ"
"NFLX","NETFLIX INC","Equity",0.0074,425.56,3251729,1383805793.24,1383805793.24,"Communication","2857817","US64110L1061","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity",0.0074,43.67,31476982,1374599803.94,1374599803.94,"Information Technology","2198163","US17275R1023","NASDAQ"
"PFE","PFIZER INC","Equity",0.0074,33.3,41062445,1367379418.5,1367379418.5,"Health Care","2684703","US7170811035","NYSE"
"PYPL","PAYPAL HOLDINGS INC","Equity",0.0072,153.04,8712293,1333329320.72,1333329320.72,"Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"PEP","PEPSICO INC","Equity",0.0071,127.84,10346528,1322700139.52,1322700139.52,"Consumer Staples","2681511","US7134481081","NASDAQ"
"CMCSA","COMCAST CORP CLASS A","Equity",0.0071,39.25,33684715,1322125063.75,1322125063.75,"Communication","2044545","US20030N1019","NASDAQ"
"KO","COCA-COLA","Equity",0.007,45.54,28611346,1302960696.84,1302960696.84,"Consumer Staples","2206657","US1912161007","NYSE"
"WMT","WALMART INC","Equity",0.0068,120.09,10525682,1264029151.38,1264029151.38,"Consumer Staples","2936921","US9311421039","NYSE"
"CVX","CHEVRON CORP","Equity",0.0067,89.37,14029991,1253860295.67,1253860295.67,"Energy","2838555","US1667641005","NYSE"
"ABBV","ABBVIE INC","Equity",0.0065,92.26,13088189,1207516317.14,1207516317.14,"Health Care","B92SR70","US00287Y1091","NYSE"
"ABT","ABBOTT LABORATORIES","Equity",0.0062,87.78,13113915,1151139458.7,1151139458.7,"Health Care","2002305","US0028241000","NYSE"
"CRM","SALESFORCE.COM INC","Equity",0.0061,172.05,6581875,1132411593.75,1132411593.75,"Information Technology","2310525","US79466L3024","NYSE"
"MCD","MCDONALDS CORP","Equity",0.0056,187.51,5589559,1048098208.09,1048098208.09,"Consumer Discretionary","2550707","US5801351017","NYSE"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity",0.0054,336.44,2976339,1001359493.16,1001359493.16,"Health Care","2886907","US8835561023","NYSE"
"BMY","BRISTOL MYERS SQUIBB","Equity",0.0053,56.71,17397250,986598047.5,986598047.5,"Health Care","2126335","US1101221083","NYSE"
"COST","COSTCO WHOLESALE CORP","Equity",0.0053,300.83,3279019,986427285.77,986427285.77,"Consumer Staples","2701271","US22160K1051","NASDAQ"
"AMGN","AMGEN INC","Equity",0.0052,218.9,4409867,965319886.3,965319886.3,"Health Care","2023607","US0311621009","NASDAQ"
"ACN","ACCENTURE PLC CLASS A","Equity",0.005,195.95,4714686,923842721.7,923842721.7,"Information Technology","B4BNMY3","IE00B4BNMY34","NYSE"
"MDT","MEDTRONIC PLC","Equity",0.0049,90.87,9948845,904051545.15,904051545.15,"Health Care","BTN1Y11","IE00BTN1Y115","NYSE"
"LLY","ELI LILLY","Equity",0.0049,144.08,6271562,903606652.96,903606652.96,"Health Care","2516152","US5324571083","NYSE"
"NEE","NEXTERA ENERGY INC","Equity",0.0048,248.33,3629145,901225577.85,901225577.85,"Utilities","2328915","US65339F1012","NYSE"
"NKE","NIKE INC CLASS B","Equity",0.0047,95.17,9249386,880264065.62,880264065.62,"Consumer Discretionary","2640147","US6541061031","NYSE"
"AVGO","BROADCOM INC","Equity",0.0047,293.75,2945405,865212718.75,865212718.75,"Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"TXN","TEXAS INSTRUMENT INC","Equity",0.0047,124.61,6941270,864951654.7,864951654.7,"Information Technology","2885409","US8825081040","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity",0.0045,163.29,5154618,841697573.22,841697573.22,"Industrials","2914734","US9078181081","NYSE"
"AMT","AMERICAN TOWER REIT CORP","Equity",0.0045,251.51,3289220,827271722.2,827271722.2,"Real Estate","B7FBFL2","US03027X1000","NYSE"
"ORCL","ORACLE CORP","Equity",0.0044,51.31,16084693,825305597.83,825305597.83,"Information Technology","2661568","US68389X1054","NYSE"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity",0.0044,71.25,11552286,823100377.5,823100377.5,"Consumer Staples","B2PKRQ3","US7181721090","NYSE"
"LIN","LINDE PLC","Equity",0.0043,199.11,3989367,794322863.37,794322863.37,"Materials","BZ12WP8","IE00BZ12WP82","NYSE"
"C","CITIGROUP INC","Equity",0.0042,48.39,16213875,784589411.25,784589411.25,"Financials","2297907","US1729674242","NYSE"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity",0.0042,118.01,6576264,776064914.64,776064914.64,"Information Technology","2005973","US4592001014","NYSE"
"DHR","DANAHER CORP","Equity",0.0041,164.9,4668860,769895014,769895014,"Health Care","2250870","US2358511028","NYSE"
"WFC","WELLS FARGO","Equity",0.0041,26.79,28585538,765806563.02,765806563.02,"Financials","2649100","US9497461015","NYSE"
"HON","HONEYWELL INTERNATIONAL INC","Equity",0.0041,143.44,5307097,761249993.68,761249993.68,"Industrials","2020459","US4385161066","NYSE"
"QCOM","QUALCOMM INC","Equity",0.0038,84.02,8482127,712668310.54,712668310.54,"Information Technology","2714923","US7475251036","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity",0.0038,383.88,1843748,707777982.24,707777982.24,"Industrials","2522096","US5398301094","NYSE"
"LOW","LOWES COMPANIES INC","Equity",0.0038,123.94,5694463,705771744.22,705771744.22,"Consumer Discretionary","2536763","US5486611073","NYSE"
"RTX","RAYTHEON TECHNOLOGIES CORP","Equity",0.0037,62.85,10899444,685030055.4,685030055.4,"Industrials","BM5M5Y3","US75513E1010","NYSE"
"GILD","GILEAD SCIENCES INC","Equity",0.0037,72.84,9396564,684445721.76,684445721.76,"Health Care","2369174","US3755581036","NASDAQ"
"BA","BOEING","Equity",0.0036,170,3961199,673403830,673403830,"Industrials","2108601","US0970231058","NYSE"
"MMM","3M","Equity",0.0035,152.38,4272658,651067626.04,651067626.04,"Industrials","2595708","US88579Y1010","NYSE"
"SBUX","STARBUCKS CORP","Equity",0.0034,72.57,8773072,636661835.04,636661835.04,"Consumer Discretionary","2842255","US8552441094","NASDAQ"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity",0.0033,134.23,4553509,611217513.07,611217513.07,"Information Technology","2769796","US31620M1062","NYSE"
"CVS","CVS HEALTH CORP","Equity",0.0033,63.16,9638588,608773218.08,608773218.08,"Health Care","2577609","US1266501006","NYSE"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity",0.0032,517.17,1161647,600768978.99,600768978.99,"Communication","BZ6VT82","US16119P1084","NASDAQ"
"BLK","BLACKROCK INC","Equity",0.0032,525.21,1129658,593307678.18,593307678.18,"Financials","2494504","US09247X1019","NYSE"
"SPGI","S&P GLOBAL INC","Equity",0.003,307.03,1815622,557450422.66,557450422.66,"Financials","BYV2325","US78409V1044","NYSE"
"MO","ALTRIA GROUP INC","Equity",0.0029,39.29,13840726,543802124.54,543802124.54,"Consumer Staples","2692632","US02209S1033","NYSE"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity",0.0029,50.53,10667437,539025591.61,539025591.61,"Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"INTU","INTUIT INC","Equity",0.0029,277.87,1928633,535909251.71,535909251.71,"Information Technology","2459020","US4612021034","NASDAQ"
"CI","CIGNA CORP","Equity",0.0029,191.56,2766708,529990584.48,529990584.48,"Health Care","BHJ0775","US1255231003","NYSE"
"NOW","SERVICENOW INC","Equity",0.0028,375.05,1397348,524075367.4,524075367.4,"Information Technology","B80NXX8","US81762P1021","NYSE"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity",0.0028,100.47,5191784,521618538.48,521618538.48,"Industrials","2517382","US9113121068","NYSE"
"D","DOMINION ENERGY INC","Equity",0.0028,84.01,6098118,512302893.18,512302893.18,"Utilities","2542049","US25746U1097","NYSE"
"BDX","BECTON DICKINSON","Equity",0.0027,230.19,2187335,503502643.65,503502643.65,"Health Care","2087807","US0758871091","NYSE"
"VRTX","VERTEX PHARMACEUTICALS INC","Equity",0.0027,263.89,1905130,502744755.7,502744755.7,"Health Care","2931034","US92532F1003","NASDAQ"
